26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | LMEx Framework Version: 4.0.0.12
26-Nov-2021 13:42:18  | FRM | ### | LMEx 32Bit
26-Nov-2021 13:42:18  | FRM | ### | LMEx Sensor Version: 1.1.11.3
26-Nov-2021 13:42:18  | FRM | ### | User: MIB1RT
26-Nov-2021 13:42:18  | FRM | ### | User level: EXTENDED
26-Nov-2021 13:42:18  | FRM | ### | Test bench         : CANONLY
26-Nov-2021 13:42:18  | FRM | ### | Host name          : RT-Z0KG0
26-Nov-2021 13:42:18  | FRM | ### | Unibox Id          : 100
26-Nov-2021 13:42:18  | FRM | ### | Mainboard Number   : -1
26-Nov-2021 13:42:18  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
26-Nov-2021 13:42:18  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007695_8D-21-653\04-El._Testing_at_RT_Accel_Gyro(3)\4681_FA
26-Nov-2021 13:42:18  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211126134217\
26-Nov-2021 13:42:18  | FRM | ### | Movejob: deactivated
26-Nov-2021 13:42:18  | FRM | ### | TDMS ByteOrder: BigEndian
26-Nov-2021 13:42:18  | FRM | ### | TDMS language: german
26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | Info: temporary saving active
26-Nov-2021 13:42:18  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
26-Nov-2021 13:42:18  | FRM | ### | 
26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | 
26-Nov-2021 13:42:18  | FRM | ### | Sensor Pos=1 Nr=1
26-Nov-2021 13:42:18  | FRM | ### | Sensor Pos=2 Nr=4681
26-Nov-2021 13:42:18  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
26-Nov-2021 13:42:18  | FRM | ### | Test initializeded
26-Nov-2021 13:42:18  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
26-Nov-2021 13:42:20  | INF | ### | Paranoia power reset (TM)
26-Nov-2021 13:42:22  | SEN | 001 | module_id:6470
26-Nov-2021 13:42:22  | SEN | 001 | SNR:ab3d82c707011946
26-Nov-2021 13:42:23  | SEN | 001 | USNR:0000H6K123022070025KY
26-Nov-2021 13:42:23  | INF | ### | CRC 52051 crc read:52051
26-Nov-2021 13:42:23  | INF | ### | SensorNr1
26-Nov-2021 13:42:23  | INF | ### | 
26-Nov-2021 13:42:23  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
26-Nov-2021 13:42:25  | INF | ### | | RATE_X_wodrivewoCM        |      -0.05dps|  0.04dps  | DC <2dps, AC < 0.088dps |
26-Nov-2021 13:42:44  | INF | ### | | CV_Y_inTADC_diff          |       -0.09mV|   0.00mV  | W/ CM minus W/O CM |
26-Nov-2021 13:42:44  | INF | ### | | CV_Z_inTADC_diff          |        0.17mV|   0.00mV  | W/ CM minus W/O CM |
26-Nov-2021 13:42:45  | INF | ### | | RATE_X_wodrivewCM_s30     |      -17.51mv|  -0.18mv  | pls compare it with CV_X_wodrivewCM in TADC |
26-Nov-2021 13:42:45  | INF | ### | | RATE_Y_wodrivewCM_s30     |      -21.12mv|   0.15mv  | pls compare it with CV_Y_wodrivewCM in TADC |
26-Nov-2021 13:42:45  | INF | ### | | RATE_Z_wodrivewCM_s30     |       -1.95mv|  -0.34mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
26-Nov-2021 13:42:45  | INF | ### | | S30_CV_X_diff_wodrivewCM  |       10.44mv|   0.00mv  |  |
26-Nov-2021 13:42:45  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |      -11.90mv|   0.00mv  |  |
26-Nov-2021 13:42:45  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |      -19.14mv|   0.00mv  |  |
26-Nov-2021 13:42:47  | INF | ### | | CM_OFFSET_wodrive in TADC |       -1.11mV|   0.10mV  |  |
26-Nov-2021 13:42:48  | INF | ### | | Aout(4k_en)               |      378.50mV|   2.30mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
26-Nov-2021 13:42:48  | INF | ### | | Pout(4k_en)               |      -67.86mV|   0.09mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
26-Nov-2021 13:42:49  | INF | ### | | Aout(4k_en & pd_aa)       |      756.61mV|   2.23mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
26-Nov-2021 13:42:49  | INF | ### | | Aout(4k_en & pd_ai)       |      747.29mV|   2.45mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
26-Nov-2021 13:42:50  | INF | ### | | Aout normal mode          |      755.90mV|   3.59mV  | ^~default~^ |
26-Nov-2021 13:42:51  | INF | ### | | Normal_Rate_x             |       0.26dps|  0.05dps  | comment |
26-Nov-2021 13:42:51  | INF | ### | | Normal_Rate_y             |      -0.03dps|  0.06dps  | comment |
26-Nov-2021 13:42:51  | INF | ### | | Normal_Rate_z             |       0.12dps|  0.06dps  | comment |
26-Nov-2021 13:42:51  | INF | ### | | Pout normal mode          |      -61.21mV|   0.19mV  | ^~default~^ |
26-Nov-2021 13:42:53  | INF | ### | | CM_OFFSET_normal in TADC  |       -1.12mV|   0.10mV  |  |
26-Nov-2021 13:42:53  | INF | ### | | AoutTrim                  |      762.50mV|   0.00mV  |  |
26-Nov-2021 13:42:53  | INF | ### | | Aout_s16                  |      755.84mV|   0.00mV  |  |
26-Nov-2021 13:42:53  | INF | ### | | Aout_rel_dev_s16          |      -0.87pct|  0.00pct  |  |
26-Nov-2021 13:42:55  | INF | ### | | S31:CM_in_Sens            |        0.03Au|   0.05Au  | comment |
26-Nov-2021 13:42:56  | INF | ### | | S31:CM_inSens_PD_AI       |        0.50Au|   0.06Au  | comment |
26-Nov-2021 13:42:57  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.40Au|   0.05Au  | comment |
26-Nov-2021 13:42:57  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.07Au|   0.06Au  | comment |
26-Nov-2021 13:42:59  | INF | ### | | CV_D_in_Sens              |   23359.76LSB|  2.83LSB  | comment |
26-Nov-2021 13:43:01  | INF | ### | | GYRO_TAU                  |       67.10ms|   0.00ms  | comment |
26-Nov-2021 13:43:02  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
26-Nov-2021 13:43:02  | INF | ### | | VCO_freq_FT               |      24.48KHz|  0.00KHz  |  |
26-Nov-2021 13:43:02  | INF | ### | | VCO_freq_dev              |    24482.00Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
26-Nov-2021 13:43:03  | INF | ### | | Gyro_rate_raw_x           |      -2.01dps|  0.05dps  | comment |
26-Nov-2021 13:43:03  | INF | ### | | Gyro_rate_raw_y           |       2.89dps|  0.04dps  | comment |
26-Nov-2021 13:43:03  | INF | ### | | Gyro_rate_raw_z           |      -7.56dps|  0.04dps  | comment |
26-Nov-2021 13:43:03  | INF | ### | | Quad_q2r_res_x            |     199.25dps|  0.41dps  | comment |
26-Nov-2021 13:43:03  | INF | ### | | Quad_q2r_res_y            |     219.39dps|  0.29dps  | comment |
26-Nov-2021 13:43:03  | INF | ### | | Quad_q2r_res_z            |     136.43dps|  0.27dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Rdiff_cvs_x               |      -0.21dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Rdiff_cvs_y               |       1.05dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Rdiff_cvs_z               |       0.08dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Qdiff_cvs_x               |   -1335.86dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Qdiff_cvs_y               |   -2141.76dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Qdiff_cvs_z               |    1393.73dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Phase_cvs_x               |      0.15mrad| 0.00mrad  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Phase_cvs_y               |     -0.49mrad| 0.00mrad  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Phase_cvs_z               |      0.06mrad| 0.00mrad  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Rdiff_x                   |       0.50dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Rdiff_y                   |      -0.88dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Rdiff_z                   |       0.74dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Qdiff_x                   |    -193.13dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Qdiff_y                   |     217.28dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Qdiff_z                   |    -355.83dps|  0.00dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Phase_TOSK_x              |     -2.60mrad| 0.00mrad  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Phase_TOSK_y              |     -4.04mrad| 0.00mrad  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Phase_TOSK_z              |     -2.08mrad| 0.00mrad  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Post_Rate_x               |       0.25dps|  0.06dps  | comment |
26-Nov-2021 13:43:10  | INF | ### | | Post_Rate_y               |      -0.03dps|  0.07dps  | comment |
26-Nov-2021 13:43:11  | INF | ### | | Post_Rate_z               |       0.37dps|  0.05dps  | comment |
26-Nov-2021 13:43:12  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:12  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|         12.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:12  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|          0.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:12  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 0|         28.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:14  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -3|          2.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:14  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -3|         12.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:14  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -3|          0.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:14  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -3|         31.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:16  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 3|          3.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:16  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 3|         11.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:16  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 3|          0.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:16  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 3|         28.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:17  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -2|          4.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:17  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -2|         11.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:17  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -2|          0.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:17  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -2|         29.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:19  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 2|          5.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:19  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 2|         13.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:19  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|          0.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:19  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|         28.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:21  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|          6.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:21  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|         12.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:21  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|          0.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:21  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|         28.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:23  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|          7.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:23  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|         12.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:23  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|          0.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:23  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|         28.00|     0.00  | S23 -> combo |
26-Nov-2021 13:43:23  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20211126134217\\AoutStartUp_Loop7_Pos1_module_id_6470_20211126134321.csv
26-Nov-2021 13:43:24  | INF | ### | | GYRO_STARTUP time         |       31.91ms|   0.00ms  | check only the mean value |
26-Nov-2021 13:43:24  | INF | ### | | ASIC_temp_start           |     21.95degC| 0.01degC  | ^~temperature taken upon start~^ |
26-Nov-2021 13:43:24  | INF | ### | | ASIC_temp_end             |     22.16degC| 0.02degC  | ^~temperature taken at the end~^ |
26-Nov-2021 13:43:24  | INF | ### | 
26-Nov-2021 13:43:26  | INF | ### | Paranoia power reset (TM)
26-Nov-2021 13:43:30  | INF | ### | | a_x_G32_stim_zp1g         |        2.46mg|   1.67mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:30  | INF | ### | | a_y_G32_stim_zp1g         |       -9.65mg|   2.28mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:30  | INF | ### | | a_z_G32_stim_zp1g         |      992.27mg|   2.89mg  | 900mg < DC < 1100 mg, AC < 2 mg |
26-Nov-2021 13:43:31  | INF | ### | | a_x_G16_stim_zp1g         |        8.98mg|   1.72mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:31  | INF | ### | | a_y_G16_stim_zp1g         |      -10.94mg|   1.57mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:31  | INF | ### | | a_z_G16_stim_zp1g         |      991.88mg|   1.66mg  | 900mg < DC < 1100 mg, AC < 2 mg |
26-Nov-2021 13:43:31  | INF | ### | | a_x_stim_zp1g_pre_bite    |        7.77mg|   1.53mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:31  | INF | ### | | a_y_stim_zp1g_pre_bite    |      -16.13mg|   1.72mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:31  | INF | ### | | a_z_stim_zp1g_pre_bite    |      985.35mg|   1.91mg  | 980mg < DC < 1020 mg, AC < 2 mg |
26-Nov-2021 13:43:32  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     4928.63mg|   1.19mg  | 3000mg < DC < 7000 mg |
26-Nov-2021 13:43:32  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4550.66mg|   2.78mg  | -6500mg < DC < -2000 mg |
26-Nov-2021 13:43:32  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3706.60mg|   1.09mg  | -5000mg < DC < -2000 mg |
26-Nov-2021 13:43:33  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -5273.13mg|   1.75mg  | -7000mg < DC < -3000 mg |
26-Nov-2021 13:43:33  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4375.82mg|   3.57mg  | 2000mg < DC < 6500 mg |
26-Nov-2021 13:43:33  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5597.03mg|   2.07mg  | 4000mg < DC < 7000 mg |
26-Nov-2021 13:43:34  | INF | ### | | a_x_stim_zp1g_post_bite   |        7.54mg|   1.48mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:34  | INF | ### | | a_y_stim_zp1g_post_bite   |      -16.95mg|   1.19mg  | -20mg < DC < 20 mg, AC < 2 mg |
26-Nov-2021 13:43:34  | INF | ### | | a_z_stim_zp1g_post_bite   |      984.88mg|   2.11mg  | 980mg < DC < 1020 mg, AC < 2 mg |
26-Nov-2021 13:43:34  | INF | ### | | a_x_stim_zp1g_bite_sum    |     -360.04mg|   0.00mg  | 3750mg < DC < 3750mg |
26-Nov-2021 13:43:34  | INF | ### | | a_y_stim_zp1g_bite_sum    |     -142.58mg|   0.00mg  | 3750mg < DC < 3750mg |
26-Nov-2021 13:43:34  | INF | ### | | a_z_stim_zp1g_bite_sum    |      -80.27mg|   0.00mg  | 3750mg < DC < 3750mg |
26-Nov-2021 13:43:34  | INF | ### | | a_x_stim_zp1g_bite_diff   |    10201.76mg|   0.00mg  | 6500mg < DC < 13000mg |
26-Nov-2021 13:43:34  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -8926.48mg|   0.00mg  | -12000mg < DC < -5500mg |
26-Nov-2021 13:43:34  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9303.63mg|   0.00mg  | -11500mg < DC < -7000mg |
26-Nov-2021 13:43:34  | INF | ### | | a_x_stim_zp1g_prepost_bite|       -0.23mg|   0.00mg  | -10 mg < DC < 10mg |
26-Nov-2021 13:43:34  | INF | ### | | a_y_stim_zp1g_prepost_bite|       -0.82mg|   0.00mg  | -10 mg < DC < 10mg |
26-Nov-2021 13:43:34  | INF | ### | | a_z_stim_zp1g_prepost_bite|       -0.47mg|   0.00mg  | -10 mg < DC < 10mg |
26-Nov-2021 13:43:36  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   25463.32LSB|  0.64LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:36  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -25729.77LSB|  0.91LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:36  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -26010.35LSB|  0.49LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:37  | INF | ### | | a_x_S28_SC_CBIST          |   22743.55LSB|  0.93LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:37  | INF | ### | | a_y_S28_SC_CBIST          |  -23151.09LSB|  0.91LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:37  | INF | ### | | a_z_S28_SC_CBIST          |  -23109.69LSB|  1.08LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:38  | INF | ### | | NSF_S28_x                 |          0.89|     0.00  | NSF_S28_x |
26-Nov-2021 13:43:38  | INF | ### | | NSF_S28_y                 |          0.90|     0.00  | NSF_S28_y |
26-Nov-2021 13:43:38  | INF | ### | | NSF_S28_z                 |          0.89|     0.00  | NSF_S28_z |
26-Nov-2021 13:43:38  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -170.20LSB|  0.72LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:38  | INF | ### | | a_y_S28_DC_SC_CBIST       |      30.51LSB|  0.90LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:38  | INF | ### | | a_z_S28_DC_SC_CBIST       |      61.52LSB|  0.80LSB  | X < DC < X, AC < X |
26-Nov-2021 13:43:38  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.64|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
26-Nov-2021 13:43:38  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.81|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
26-Nov-2021 13:43:38  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.71|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
26-Nov-2021 13:43:38  | INF | ### | | c_odr_trim_current        |         -3.00|     0.00  | c_odr_trim_current |
