31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | LMEx Framework Version: 4.0.0.12
31-Jan-2022 10:54:43  | FRM | ### | LMEx 32Bit
31-Jan-2022 10:54:43  | FRM | ### | LMEx Sensor Version: 1.1.11.3
31-Jan-2022 10:54:43  | FRM | ### | User: MIB1RT
31-Jan-2022 10:54:43  | FRM | ### | User level: EXTENDED
31-Jan-2022 10:54:43  | FRM | ### | Test bench         : CANONLY
31-Jan-2022 10:54:43  | FRM | ### | Host name          : RT-Z0KG0
31-Jan-2022 10:54:43  | FRM | ### | Unibox Id          : 100
31-Jan-2022 10:54:43  | FRM | ### | Mainboard Number   : -1
31-Jan-2022 10:54:43  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
31-Jan-2022 10:54:43  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007969_8D-22-051\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\FA
31-Jan-2022 10:54:43  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220131105443\
31-Jan-2022 10:54:43  | FRM | ### | Movejob: deactivated
31-Jan-2022 10:54:43  | FRM | ### | TDMS ByteOrder: BigEndian
31-Jan-2022 10:54:43  | FRM | ### | TDMS language: german
31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | Info: temporary saving active
31-Jan-2022 10:54:43  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
31-Jan-2022 10:54:43  | FRM | ### | 
31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | 
31-Jan-2022 10:54:43  | FRM | ### | Sensor Pos=1 Nr=1
31-Jan-2022 10:54:43  | FRM | ### | Sensor Pos=2 Nr=4922
31-Jan-2022 10:54:43  | FRM | ### | Sensor Pos=3 Nr=4923
31-Jan-2022 10:54:43  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
31-Jan-2022 10:54:43  | FRM | ### | Test initializeded
31-Jan-2022 10:54:43  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
31-Jan-2022 10:54:45  | INF | ### | Paranoia power reset (TM)
31-Jan-2022 10:54:47  | SEN | 001 | module_id:4911
31-Jan-2022 10:54:48  | SEN | 001 | SNR:b0b680870703132f
31-Jan-2022 10:54:48  | SEN | 001 | USNR:0000H6K250004047019KY
31-Jan-2022 10:54:48  | INF | ### | CRC 57365 crc read:57365
31-Jan-2022 10:54:48  | INF | ### | SensorNr1
31-Jan-2022 10:54:48  | INF | ### | 
31-Jan-2022 10:54:48  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
31-Jan-2022 10:54:51  | INF | ### | | RATE_X_wodrivewoCM        |     -0.089dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 10:55:15  | INF | ### | | Pout(4k_en)               |       7.004mV|   0.30mV  | -300mV< DC <300mV, AC < 2mV |
31-Jan-2022 10:55:16  | INF | ### | | Aout(4k_en & pd_aa)       |     621.645mV|   3.53mV  | 100mV< DC <1100mV, AC < 7.5mV |
31-Jan-2022 10:55:16  | INF | ### | | Aout(4k_en & pd_ai)       |     614.729mV|   3.69mV  | 100mV< DC <1100mV, AC < 7.5mV |
31-Jan-2022 10:55:17  | INF | ### | | Aout normal mode          |     623.250mV|   2.84mV  | 100mV< DC <1100mV, AC < 7.5mV |
31-Jan-2022 10:55:18  | INF | ### | | Pout normal mode          |      11.384mV|   0.28mV  | -300mV< DC <300mV, AC < 2mV |
31-Jan-2022 10:55:18  | INF | ### | | asymm_pout_4um_diff       |      -4.380mV|   0.00mV  | -10mV< DC <-0.5mV |
31-Jan-2022 10:55:18  | INF | ### | | asymm_aout_4um_ratio      |         0.502|     0.00  | 0.49< DC <0.51 |
31-Jan-2022 10:55:18  | INF | ### | | asymm_aout_pdaaai_ratio   |         1.011|     0.00  | 0.975< DC <1.025 |
31-Jan-2022 10:55:18  | INF | ### | | Normal_Rate_x             |      0.173dps|  0.06dps  | -25dps< DC <25dps, AC < 0.2dps |
31-Jan-2022 10:55:18  | INF | ### | | Normal_Rate_y             |      0.058dps|  0.07dps  | -25dps< DC <25dps, AC < 0.2dps |
31-Jan-2022 10:55:18  | INF | ### | | Normal_Rate_z             |      0.012dps|  0.05dps  | -25dps< DC <25dps, AC < 0.2dps |
31-Jan-2022 10:55:20  | INF | ### | | CM_OFFSET_normal in TADC  |       2.539mV|   0.08mV  | 50mV< DC <550mV, AC < 7.5mV |
31-Jan-2022 10:55:20  | INF | ### | | AoutTrim                  |     632.422mV|   0.00mV  | 100mV< DC <1100mV |
31-Jan-2022 10:55:21  | INF | ### | | Aout_s16                  |     624.332mV|   0.00mV  | 200mV< DC <1100mV |
31-Jan-2022 10:55:21  | INF | ### | | Aout_rel_dev_s16          |     -1.279pct|  0.00pct  | -3pct< DC <3pct |
31-Jan-2022 10:55:22  | INF | ### | | S31:CM_in_Sens            |       0.065Au|   0.05Au  | -5Au< DC <5Au, AC < 0.2Au |
31-Jan-2022 10:55:23  | INF | ### | | S31:CM_inSens_PD_AI       |       0.465Au|   0.06Au  | -5Au< DC <5Au, AC < 0.2Au |
31-Jan-2022 10:55:24  | INF | ### | | S31:CM_inSens_PD_AA       |      -0.393Au|   0.05Au  | -5Au< DC <5Au, AC < 0.2Au |
31-Jan-2022 10:55:25  | INF | ### | | S31:CM_inSens_PD_AIAA     |       0.051Au|   0.05Au  | -5Au< DC <5Au, AC < 0.2Au |
31-Jan-2022 10:55:26  | INF | ### | | CV_D_in_Sens              |  23530.740LSB|  2.71LSB  | abs(DC) > 20000LSB, AC < 5LSB |
31-Jan-2022 10:55:28  | INF | ### | | GYRO_TAU                  |      76.647ms|   0.00ms  | 40ms< DC <100ms |
31-Jan-2022 10:55:29  | INF | ### | | VCO_freq_measured         |      0.000KHz|  0.00KHz  | 22.5KHz< DC <27.500KHz |
31-Jan-2022 10:55:29  | INF | ### | | VCO_freq_FT               |     25.301KHz|  0.00KHz  | 22.5KHz< DC <27.500KHz |
31-Jan-2022 10:55:29  | INF | ### | | VCO_freq_dev              |   25301.200Hz|   0.00Hz  | -100Hz< DC <100Hz |
31-Jan-2022 10:55:30  | INF | ### | | Gyro_rate_raw_x           |      2.924dps|  0.04dps  | -100dps< DC <100dps, AC < 0.2dps |
31-Jan-2022 10:55:30  | INF | ### | | Gyro_rate_raw_y           |      9.214dps|  0.04dps  | -100dps< DC <100dps, AC < 0.2dps |
31-Jan-2022 10:55:30  | INF | ### | | Gyro_rate_raw_z           |     -0.515dps|  0.03dps  | -100dps< DC <100dps, AC < 0.2dps |
31-Jan-2022 10:55:31  | INF | ### | | Quad_q2r_res_x            |     19.528dps|  0.39dps  | -3000dps< DC <3000dps, AC < 10dps |
31-Jan-2022 10:55:31  | INF | ### | | Quad_q2r_res_y            |   -401.049dps|  0.63dps  | -3000dps< DC <3000dps, AC < 10dps |
31-Jan-2022 10:55:31  | INF | ### | | Quad_q2r_res_z            |    -32.792dps|  0.96dps  | -3000dps< DC <3000dps, AC < 10dps |
31-Jan-2022 10:55:38  | INF | ### | | Rdiff_cvs_x               |      0.413dps|  0.00dps  | -5dps< DC <5dps |
31-Jan-2022 10:55:38  | INF | ### | | Rdiff_cvs_y               |      1.214dps|  0.00dps  | -5dps< DC <5dps |
31-Jan-2022 10:55:38  | INF | ### | | Rdiff_cvs_z               |      0.151dps|  0.00dps  | -5dps< DC <5dps |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_cvs_x               |  -1602.331dps|  0.00dps  | -6000dps< DC <-200dps |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_cvs_y               |  -2133.521dps|  0.00dps  | -6000dps< DC <-200dps |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_cvs_z               |   1335.845dps|  0.00dps  | 200dps< DC <6000dps |
31-Jan-2022 10:55:38  | INF | ### | | Phase_cvs_x               |    -0.258mrad| 0.00mrad  | -10mrad< DC <10mrad |
31-Jan-2022 10:55:38  | INF | ### | | Phase_cvs_y               |    -0.569mrad| 0.00mrad  | -10mrad< DC <10mrad |
31-Jan-2022 10:55:38  | INF | ### | | Phase_cvs_z               |     0.113mrad| 0.00mrad  | -10mrad< DC <10mrad |
31-Jan-2022 10:55:38  | INF | ### | | Rdiff_x                   |      0.257dps|  0.00dps  | 0.01dps< DC <5dps |
31-Jan-2022 10:55:38  | INF | ### | | Rdiff_y                   |     -0.713dps|  0.00dps  | -5dps< DC <-0.01dps |
31-Jan-2022 10:55:38  | INF | ### | | Rdiff_z                   |      0.551dps|  0.00dps  | 0.01dps< DC <5dps |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_x                   |   -193.661dps|  0.00dps  | -248dps< DC <-120dps |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_y                   |    210.119dps|  0.00dps  | 140dps< DC <268dps |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_z                   |   -368.501dps|  0.00dps  | -464dps< DC <-272dps |
31-Jan-2022 10:55:38  | INF | ### | | Phase_TOSK_x              |    -1.329mrad| 0.00mrad  | -5mrad< DC <-0.1mrad |
31-Jan-2022 10:55:38  | INF | ### | | Phase_TOSK_y              |    -3.392mrad| 0.00mrad  | -7mrad< DC <-0.1mrad |
31-Jan-2022 10:55:38  | INF | ### | | Phase_TOSK_z              |    -1.494mrad| 0.00mrad  | -5mrad< DC <-0.1mrad |
31-Jan-2022 10:55:38  | INF | ### | | QDIFFtrim_X               |    194.750dps|  0.00dps  |   |
31-Jan-2022 10:55:38  | INF | ### | | QDIFFtrim_Y               |    208.400dps|  0.00dps  |   |
31-Jan-2022 10:55:38  | INF | ### | | QDIFFtrim_Z               |    368.000dps|  0.00dps  |   |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_dev_X               |     -1.089dps|  0.00dps  |   |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_dev_Y               |      1.719dps|  0.00dps  |   |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_dev_Z               |      0.501dps|  0.00dps  |   |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_rel_dev_X           |     -0.559pct|  0.00pct  | -3 pct < DC < 3 pct |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_rel_dev_Y           |      0.825pct|  0.00pct  | -3 pct < DC < 3 pct |
31-Jan-2022 10:55:38  | INF | ### | | Qdiff_rel_dev_Z           |      0.136pct|  0.00pct  | -3 pct < DC < 3 pct |
31-Jan-2022 10:55:38  | INF | ### | | Post_Rate_x               |      0.182dps|  0.06dps  | -25dps< DC <25dps, AC < 0.2dps |
31-Jan-2022 10:55:38  | INF | ### | | Post_Rate_y               |      0.067dps|  0.07dps  | -25dps< DC <25dps, AC < 0.2dps |
31-Jan-2022 10:55:38  | INF | ### | | Post_Rate_z               |      0.018dps|  0.05dps  | -25dps< DC <25dps, AC < 0.2dps |
31-Jan-2022 10:55:40  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|         1.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:40  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|        12.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:40  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|         0.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:40  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 0|        25.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:42  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -3|         2.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:42  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -3|        12.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:42  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -3|         0.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:42  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -3|        26.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:44  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 3|         3.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:44  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 3|        13.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:44  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 3|         0.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:44  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 3|        27.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:46  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -2|         4.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:46  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -2|        11.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:46  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -2|         0.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:46  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -2|        26.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:47  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 2|         5.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:47  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 2|        11.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:47  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|         0.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:47  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|        26.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:49  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|         6.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:49  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|        12.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:49  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|         0.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:49  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|        25.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:51  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|         7.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:51  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|        11.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:51  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|         0.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:51  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|        25.000|     0.00  | S23 -> combo |
31-Jan-2022 10:55:51  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20220131105443\\AoutStartUp_Loop7_Pos1_module_id_4911_20220131105549.csv
31-Jan-2022 10:55:53  | INF | ### | | GYRO_STARTUP time         |      30.663ms|   0.00ms  | 15 ms< DC <40 ms |
31-Jan-2022 10:55:53  | INF | ### | | ASIC_temp_start           |    20.051degC| 0.02degC  | 15 degC< DC <30 degC |
31-Jan-2022 10:55:53  | INF | ### | | ASIC_temp_end             |    20.182degC| 0.00degC  | 15 degC< DC <30 degC |
31-Jan-2022 10:55:53  | INF | ### | 
31-Jan-2022 10:55:55  | INF | ### | Paranoia power reset (TM)
31-Jan-2022 10:55:59  | INF | ### | | a_x_G32_stim_zp1g         |      -2.148mg|   2.64mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:55:59  | INF | ### | | a_y_G32_stim_zp1g         |       8.125mg|   3.31mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:55:59  | INF | ### | | a_z_G32_stim_zp1g         |     995.391mg|   2.73mg  | 900mg < DC < 1100 mg, AC < 2 mg |
31-Jan-2022 10:55:59  | INF | ### | | a_x_G16_stim_zp1g         |       4.297mg|   2.00mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:55:59  | INF | ### | | a_y_G16_stim_zp1g         |       7.461mg|   2.08mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:55:59  | INF | ### | | a_z_G16_stim_zp1g         |     990.645mg|   1.85mg  | 900mg < DC < 1100 mg, AC < 2 mg |
31-Jan-2022 10:56:00  | INF | ### | | a_x_stim_zp1g_pre_bite    |       5.977mg|   2.93mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:56:00  | INF | ### | | a_y_stim_zp1g_pre_bite    |       5.391mg|   2.72mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:56:00  | INF | ### | | a_z_stim_zp1g_pre_bite    |     989.844mg|   2.01mg  | 980mg < DC < 1020 mg, AC < 2 mg |
31-Jan-2022 10:56:01  | INF | ### | | a_x_stim_zp1g_bite_sign0  |    4977.813mg|   1.53mg  | 3000mg < DC < 7000 mg |
31-Jan-2022 10:56:01  | INF | ### | | a_y_stim_zp1g_bite_sign0  |   -4203.047mg|   1.74mg  | -6500mg < DC < -2000 mg |
31-Jan-2022 10:56:01  | INF | ### | | a_z_stim_zp1g_bite_sign0  |   -3672.539mg|   1.15mg  | -5000mg < DC < -2000 mg |
31-Jan-2022 10:56:02  | INF | ### | | a_x_stim_zp1g_bite_sign1  |   -4747.891mg|   1.43mg  | -7000mg < DC < -3000 mg |
31-Jan-2022 10:56:02  | INF | ### | | a_y_stim_zp1g_bite_sign1  |    4329.688mg|   1.49mg  | 2000mg < DC < 6500 mg |
31-Jan-2022 10:56:02  | INF | ### | | a_z_stim_zp1g_bite_sign1  |    5824.688mg|   1.02mg  | 4000mg < DC < 7000 mg |
31-Jan-2022 10:56:03  | INF | ### | | a_x_stim_zp1g_post_bite   |       6.719mg|   1.36mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:56:03  | INF | ### | | a_y_stim_zp1g_post_bite   |       5.938mg|   2.34mg  | -20mg < DC < 20 mg, AC < 2 mg |
31-Jan-2022 10:56:03  | INF | ### | | a_z_stim_zp1g_post_bite   |     991.523mg|   1.54mg  | 980mg < DC < 1020 mg, AC < 2 mg |
31-Jan-2022 10:56:03  | INF | ### | | a_x_stim_zp1g_bite_sum    |     217.969mg|   0.00mg  | 3750mg < DC < 3750mg |
31-Jan-2022 10:56:03  | INF | ### | | a_y_stim_zp1g_bite_sum    |     115.859mg|   0.00mg  | 3750mg < DC < 3750mg |
31-Jan-2022 10:56:03  | INF | ### | | a_z_stim_zp1g_bite_sum    |     172.461mg|   0.00mg  | 3750mg < DC < 3750mg |
31-Jan-2022 10:56:03  | INF | ### | | a_x_stim_zp1g_bite_diff   |    9725.703mg|   0.00mg  | 6500mg < DC < 13000mg |
31-Jan-2022 10:56:03  | INF | ### | | a_y_stim_zp1g_bite_diff   |   -8532.734mg|   0.00mg  | -12000mg < DC < -5500mg |
31-Jan-2022 10:56:03  | INF | ### | | a_z_stim_zp1g_bite_diff   |   -9497.227mg|   0.00mg  | -11500mg < DC < -7000mg |
31-Jan-2022 10:56:03  | INF | ### | | a_x_stim_zp1g_prepost_bite|       0.742mg|   0.00mg  | -10 mg < DC < 10mg |
31-Jan-2022 10:56:03  | INF | ### | | a_y_stim_zp1g_prepost_bite|       0.547mg|   0.00mg  | -10 mg < DC < 10mg |
31-Jan-2022 10:56:03  | INF | ### | | a_z_stim_zp1g_prepost_bite|       1.680mg|   0.00mg  | -10 mg < DC < 10mg |
31-Jan-2022 10:56:05  | INF | ### | | a_x_S28_SC_Sensor_Mode    |  26242.813LSB|  0.84LSB  | X < DC < X, AC < X |
31-Jan-2022 10:56:05  | INF | ### | | a_y_S28_SC_Sensor_Mode    | -27200.195LSB|  0.56LSB  | X < DC < X, AC < X |
31-Jan-2022 10:56:05  | INF | ### | | a_z_S28_SC_Sensor_Mode    | -25032.813LSB|  0.63LSB  | X < DC < X, AC < X |
31-Jan-2022 10:56:06  | INF | ### | | a_x_S28_SC_CBIST          |  24097.148LSB|  0.85LSB  | X < DC < X, AC < X |
31-Jan-2022 10:56:06  | INF | ### | | a_y_S28_SC_CBIST          | -24615.469LSB|  0.76LSB  | X < DC < X, AC < X |
31-Jan-2022 10:56:06  | INF | ### | | a_z_S28_SC_CBIST          | -23590.547LSB|  0.82LSB  | X < DC < X, AC < X |
