21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | LMEx Framework Version: 4.0.0.12
21-Jan-2022 06:52:04  | FRM | ### | LMEx 32Bit
21-Jan-2022 06:52:04  | FRM | ### | LMEx Sensor Version: 1.1.11.3
21-Jan-2022 06:52:04  | FRM | ### | User: HCI7RT
21-Jan-2022 06:52:04  | FRM | ### | User level: EXTENDED
21-Jan-2022 06:52:04  | FRM | ### | Test bench         : CANONLY
21-Jan-2022 06:52:04  | FRM | ### | Host name          : RT-Z0EN3
21-Jan-2022 06:52:04  | FRM | ### | Unibox Id          : 100
21-Jan-2022 06:52:04  | FRM | ### | Mainboard Number   : -1
21-Jan-2022 06:52:04  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
21-Jan-2022 06:52:04  | FRM | ### | Final file path    : \\bosch.com\dfsrb\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007937_8D-22-035\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\FA
21-Jan-2022 06:52:04  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220121065204\
21-Jan-2022 06:52:04  | FRM | ### | Movejob: deactivated
21-Jan-2022 06:52:04  | FRM | ### | TDMS ByteOrder: BigEndian
21-Jan-2022 06:52:04  | FRM | ### | TDMS language: german
21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | Info: temporary saving active
21-Jan-2022 06:52:04  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
21-Jan-2022 06:52:04  | FRM | ### | 
21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | 
21-Jan-2022 06:52:04  | FRM | ### | Sensor Pos=1 Nr=1
21-Jan-2022 06:52:04  | FRM | ### | Sensor Pos=4 Nr=4898
21-Jan-2022 06:52:04  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
21-Jan-2022 06:52:04  | FRM | ### | Test initializeded
21-Jan-2022 06:52:04  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
21-Jan-2022 06:52:06  | INF | ### | Paranoia power reset (TM)
21-Jan-2022 06:52:08  | SEN | 001 | module_id:14099
21-Jan-2022 06:52:09  | SEN | 001 | SNR:b0b6808707033713
21-Jan-2022 06:52:09  | SEN | 001 | USNR:0000H6K250004019055KY
21-Jan-2022 06:52:09  | INF | ### | CRC 42917 crc read:42917
21-Jan-2022 06:52:09  | INF | ### | SensorNr1
21-Jan-2022 06:52:09  | INF | ### | 
21-Jan-2022 06:52:09  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
21-Jan-2022 06:52:12  | INF | ### | | RATE_X_wodrivewoCM        |      -0.08dps|  0.04dps  | DC <2dps, AC < 0.088dps |
21-Jan-2022 06:52:31  | INF | ### | | CV_Y_inTADC_diff          |       -0.10mV|   0.00mV  | W/ CM minus W/O CM |
21-Jan-2022 06:52:31  | INF | ### | | CV_Z_inTADC_diff          |        0.26mV|   0.00mV  | W/ CM minus W/O CM |
21-Jan-2022 06:52:31  | INF | ### | | RATE_X_wodrivewCM_s30     |       12.96mv|  -0.19mv  | pls compare it with CV_X_wodrivewCM in TADC |
21-Jan-2022 06:52:32  | INF | ### | | RATE_Y_wodrivewCM_s30     |        1.32mv|   0.11mv  | pls compare it with CV_Y_wodrivewCM in TADC |
21-Jan-2022 06:52:32  | INF | ### | | RATE_Z_wodrivewCM_s30     |       58.28mv|  -0.40mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
21-Jan-2022 06:52:32  | INF | ### | | S30_CV_X_diff_wodrivewCM  |        2.88mv|   0.00mv  |  |
21-Jan-2022 06:52:32  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |        5.92mv|   0.00mv  |  |
21-Jan-2022 06:52:32  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |       -3.86mv|   0.00mv  |  |
21-Jan-2022 06:52:34  | INF | ### | | CM_OFFSET_wodrive in TADC |        4.63mV|   0.12mV  |  |
21-Jan-2022 06:52:35  | INF | ### | | Aout(4k_en)               |      335.53mV|   1.61mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
21-Jan-2022 06:52:35  | INF | ### | | Pout(4k_en)               |      131.80mV|   0.13mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
21-Jan-2022 06:52:36  | INF | ### | | Aout(4k_en & pd_aa)       |      669.93mV|   2.72mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
21-Jan-2022 06:52:37  | INF | ### | | Aout(4k_en & pd_ai)       |      661.12mV|   2.13mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
21-Jan-2022 06:52:37  | INF | ### | | Aout normal mode          |      668.66mV|   3.08mV  | ^~default~^ |
21-Jan-2022 06:52:38  | INF | ### | | Normal_Rate_x             |       0.39dps|  0.05dps  | comment |
21-Jan-2022 06:52:38  | INF | ### | | Normal_Rate_y             |       0.02dps|  0.06dps  | comment |
21-Jan-2022 06:52:38  | INF | ### | | Normal_Rate_z             |       0.02dps|  0.06dps  | comment |
21-Jan-2022 06:52:38  | INF | ### | | Pout normal mode          |      137.69mV|   0.26mV  | ^~default~^ |
21-Jan-2022 06:52:40  | INF | ### | | CM_OFFSET_normal in TADC  |        4.64mV|   0.12mV  |  |
21-Jan-2022 06:52:40  | INF | ### | | AoutTrim                  |      674.61mV|   0.00mV  |  |
21-Jan-2022 06:52:41  | INF | ### | | Aout_s16                  |      668.87mV|   0.00mV  |  |
21-Jan-2022 06:52:41  | INF | ### | | Aout_rel_dev_s16          |      -0.85pct|  0.00pct  |  |
21-Jan-2022 06:52:43  | INF | ### | | S31:CM_in_Sens            |        0.05Au|   0.05Au  | comment |
21-Jan-2022 06:52:43  | INF | ### | | S31:CM_inSens_PD_AI       |        0.54Au|   0.05Au  | comment |
21-Jan-2022 06:52:44  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.44Au|   0.05Au  | comment |
21-Jan-2022 06:52:45  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.05Au|   0.06Au  | comment |
21-Jan-2022 06:52:46  | INF | ### | | CV_D_in_Sens              |   23485.76LSB|  2.38LSB  | comment |
21-Jan-2022 06:52:48  | INF | ### | | GYRO_TAU                  |       72.92ms|   0.00ms  | comment |
21-Jan-2022 06:52:49  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
21-Jan-2022 06:52:49  | INF | ### | | VCO_freq_FT               |      25.00KHz|  0.00KHz  |  |
21-Jan-2022 06:52:49  | INF | ### | | VCO_freq_dev              |    24999.20Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
21-Jan-2022 06:52:50  | INF | ### | | Gyro_rate_raw_x           |      -0.02dps|  0.00dps  | comment |
21-Jan-2022 06:52:50  | INF | ### | | Gyro_rate_raw_y           |      -0.02dps|  0.00dps  | comment |
21-Jan-2022 06:52:50  | INF | ### | | Gyro_rate_raw_z           |      -0.02dps|  0.00dps  | comment |
21-Jan-2022 06:52:51  | INF | ### | | Quad_q2r_res_x            |      -0.10dps|  0.00dps  | comment |
21-Jan-2022 06:52:51  | INF | ### | | Quad_q2r_res_y            |      -0.10dps|  0.00dps  | comment |
21-Jan-2022 06:52:51  | INF | ### | | Quad_q2r_res_z            |      -0.10dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Rdiff_cvs_x               |       5.90dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Rdiff_cvs_y               |      -6.56dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Rdiff_cvs_z               |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Qdiff_cvs_x               |      20.83dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Qdiff_cvs_y               |     -20.83dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Qdiff_cvs_z               |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Phase_cvs_x               |    283.13mrad| 0.00mrad  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Phase_cvs_y               |    315.02mrad| 0.00mrad  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Phase_cvs_z               |10000000.00mrad| 0.00mrad  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Rdiff_x                   |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Rdiff_y                   |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Rdiff_z                   |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Qdiff_x                   |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Qdiff_y                   |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Qdiff_z                   |       0.00dps|  0.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Phase_TOSK_x              |1000000.00mrad| 0.00mrad  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Phase_TOSK_y              |1000000.00mrad| 0.00mrad  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Phase_TOSK_z              |1000000.00mrad| 0.00mrad  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Post_Rate_x               |      -4.84dps| 22.53dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Post_Rate_y               |       4.98dps| 17.00dps  | comment |
21-Jan-2022 06:52:58  | INF | ### | | Post_Rate_z               |      -0.02dps|  0.00dps  | comment |
21-Jan-2022 06:53:00  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:00  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|         44.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:00  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 0|          0.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:00  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 0|         99.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:01  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -3|          2.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:01  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -3|        100.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:01  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -3|          0.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:01  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -3|         99.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:03  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 3|          3.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:03  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 3|        100.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:03  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 3|          0.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:03  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 3|         99.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:05  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -2|          4.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:05  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -2|        100.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:05  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -2|          0.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:05  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -2|         99.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:07  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 2|          5.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:07  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 2|        100.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:07  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 2|          0.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:07  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 2|         99.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:08  | INF | ### | | S23_AoutStUp_Loop, vco_diff = -1|          6.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:08  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = -1|        100.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:08  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = -1|          0.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:08  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = -1|         99.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:10  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 1|          7.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:10  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 1|         22.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:10  | INF | ### | | S23:g:TimeIndex:Outlier:first:Scr23, vco_diff = 1|          0.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:10  | INF | ### | | S23:g:TimeIndex:Outlier:last:Scr23, vco_diff = 1|         88.00|     0.00  | S23 -> combo |
21-Jan-2022 06:53:10  | INF | ### | sample trace out files have been created in ;c:\TempMessdaten\\20220121065204\\AoutStartUp_Loop7_Pos1_module_id_14099_20220121065308.csv
21-Jan-2022 06:53:12  | INF | ### | | GYRO_STARTUP time         |        1.60ms|   0.00ms  | check only the mean value |
21-Jan-2022 06:53:12  | INF | ### | | ASIC_temp_start           |     21.75degC| 0.01degC  | ^~temperature taken upon start~^ |
21-Jan-2022 06:53:12  | INF | ### | | ASIC_temp_end             |     16.20degC|11.58degC  | ^~temperature taken at the end~^ |
21-Jan-2022 06:53:12  | INF | ### | 
21-Jan-2022 06:53:13  | INF | ### | Paranoia power reset (TM)
21-Jan-2022 06:53:17  | INF | ### | | a_x_G32_stim_zp1g         |       -0.16mg|   2.71mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:17  | INF | ### | | a_y_G32_stim_zp1g         |       -7.62mg|   3.10mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:17  | INF | ### | | a_z_G32_stim_zp1g         |      994.02mg|   2.06mg  | 900mg < DC < 1100 mg, AC < 2 mg |
21-Jan-2022 06:53:18  | INF | ### | | a_x_G16_stim_zp1g         |        1.97mg|   1.57mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:18  | INF | ### | | a_y_G16_stim_zp1g         |       -8.30mg|   1.89mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:18  | INF | ### | | a_z_G16_stim_zp1g         |      994.12mg|   2.04mg  | 900mg < DC < 1100 mg, AC < 2 mg |
21-Jan-2022 06:53:19  | INF | ### | | a_x_stim_zp1g_pre_bite    |        2.85mg|   2.05mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:19  | INF | ### | | a_y_stim_zp1g_pre_bite    |      -16.52mg|   2.46mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:19  | INF | ### | | a_z_stim_zp1g_pre_bite    |      988.63mg|   1.76mg  | 980mg < DC < 1020 mg, AC < 2 mg |
21-Jan-2022 06:53:20  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     4738.24mg|   1.14mg  | 3000mg < DC < 7000 mg |
21-Jan-2022 06:53:20  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4319.06mg|   1.75mg  | -6500mg < DC < -2000 mg |
21-Jan-2022 06:53:20  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3589.06mg|   1.49mg  | -5000mg < DC < -2000 mg |
21-Jan-2022 06:53:20  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -4757.38mg|   1.49mg  | -7000mg < DC < -3000 mg |
21-Jan-2022 06:53:20  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4061.25mg|   1.42mg  | 2000mg < DC < 6500 mg |
21-Jan-2022 06:53:20  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5801.52mg|   1.07mg  | 4000mg < DC < 7000 mg |
21-Jan-2022 06:53:22  | INF | ### | | a_x_stim_zp1g_post_bite   |        3.55mg|   1.51mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:22  | INF | ### | | a_y_stim_zp1g_post_bite   |      -17.15mg|   2.09mg  | -20mg < DC < 20 mg, AC < 2 mg |
21-Jan-2022 06:53:22  | INF | ### | | a_z_stim_zp1g_post_bite   |      988.83mg|   1.57mg  | 980mg < DC < 1020 mg, AC < 2 mg |
21-Jan-2022 06:53:22  | INF | ### | | a_x_stim_zp1g_bite_sum    |      -24.84mg|   0.00mg  | 3750mg < DC < 3750mg |
21-Jan-2022 06:53:22  | INF | ### | | a_y_stim_zp1g_bite_sum    |     -224.77mg|   0.00mg  | 3750mg < DC < 3750mg |
21-Jan-2022 06:53:22  | INF | ### | | a_z_stim_zp1g_bite_sum    |      235.20mg|   0.00mg  | 3750mg < DC < 3750mg |
21-Jan-2022 06:53:22  | INF | ### | | a_x_stim_zp1g_bite_diff   |     9495.63mg|   0.00mg  | 6500mg < DC < 13000mg |
21-Jan-2022 06:53:22  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -8380.31mg|   0.00mg  | -12000mg < DC < -5500mg |
21-Jan-2022 06:53:22  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9390.59mg|   0.00mg  | -11500mg < DC < -7000mg |
21-Jan-2022 06:53:22  | INF | ### | | a_x_stim_zp1g_prepost_bite|        0.70mg|   0.00mg  | -10 mg < DC < 10mg |
21-Jan-2022 06:53:22  | INF | ### | | a_y_stim_zp1g_prepost_bite|       -0.63mg|   0.00mg  | -10 mg < DC < 10mg |
21-Jan-2022 06:53:22  | INF | ### | | a_z_stim_zp1g_prepost_bite|        0.20mg|   0.00mg  | -10 mg < DC < 10mg |
21-Jan-2022 06:53:24  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   26859.69LSB|  0.83LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:24  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -27383.32LSB|  0.50LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:24  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -26045.08LSB|  0.88LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:24  | INF | ### | | a_x_S28_SC_CBIST          |   24336.64LSB|  0.60LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:24  | INF | ### | | a_y_S28_SC_CBIST          |  -24424.53LSB|  0.91LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:25  | INF | ### | | a_z_S28_SC_CBIST          |  -23755.98LSB|  0.76LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:25  | INF | ### | | NSF_S28_x                 |          0.91|     0.00  | NSF_S28_x |
21-Jan-2022 06:53:25  | INF | ### | | NSF_S28_y                 |          0.89|     0.00  | NSF_S28_y |
21-Jan-2022 06:53:25  | INF | ### | | NSF_S28_z                 |          0.91|     0.00  | NSF_S28_z |
21-Jan-2022 06:53:25  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -580.63LSB|  0.80LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:26  | INF | ### | | a_y_S28_DC_SC_CBIST       |     514.61LSB|  0.77LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:26  | INF | ### | | a_z_S28_DC_SC_CBIST       |     448.55LSB|  0.78LSB  | X < DC < X, AC < X |
21-Jan-2022 06:53:26  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.73|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
21-Jan-2022 06:53:26  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.69|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
21-Jan-2022 06:53:26  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.71|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
21-Jan-2022 06:53:26  | INF | ### | | c_odr_trim_current        |         -2.00|     0.00  | c_odr_trim_current |
